Person,count,relevance (y/n/unsure),Categories,full name
Michael Flynn,81,y,Politics,Michael Flynn
Michael Jackson,141,y,Entertainment,Michael Jackson
Michael Jordan,27,y,Sports,Michael Jordan
Michael Obama,28,y,Politics,Michelle Obama 
Michael Ryan,25,y,Science,Michael Ryan
Michelle Obama,54,y,Politics,Michelle Obama
Mike Adams,26,y,Sports,Mike Adams
Mike Flynn,32,y,Politics,Mike Flynn
Mike Morales,26,y,Entertainment,Mike Morales
Mike Pence,39,y,Politics,Mike Pence
Mike Pompeo,63,y,Politics,Mike Pompeo
Mike Tyson,23,y,Sports,Mike Tyson
Mikovits,44,y,Science,Judy Anne Mikovits
Mitch McConnell,24,y,Politics,Mitch McConnell
Mohammad Asim,32,y,Science,Mohammad Asim
Moses,108,y,Religion,Moses
Mueller,83,y,Politics,Robert S. Mueller
Nancy,91,y,Politics,Nancy Pelosi
Nancy Pelosi,130,y,Politics,Nancy Pelosi
Nephilim,389,y,Religion,Nephilim (mysterious people mentioned in Hebrew Bible)
Netanyahu,46,y,Politics,Benjamin Netanyahu
Nick Rockefeller,39,y,Business,Nick Rockefeller
Nixon,48,y,Politics,Richard Nixon
Obama,429,y,Politics,Barack Obama
Oprah,216,y,Entertainment,Oprah
oprah,29,y,Entertainment,Oprah Winfrey
Oprah Winfrey,29,y,Entertainment,Oprah Winfrey
Orwell,32,y,Literature,George Orwell
Osama Bin Laden,41,y,Law and law enforcement,Osama Bin Laden
Osama bin Laden,24,y,Law and law enforcement,Osama bin Laden
Park Geun-hye,47,y,Politics,Park Geun-hye
Paul,196,y,unsure,Paul (the Evangelist)
Paul Offit,29,y,Science,Paul A. Offit
Pence,47,y,Politics,Mike Pence
Peter Strzok,26,y,Law and law enforcement,Peter Strzok
Phil Murphy,33,y,Politics,Phil Murphy
Phil Schneider,29,y,Science,Phil Schneider
Plato,25,y,Literature,Plato
Pope,62,y,Religion,Pope
Pope Francis,134,y,Religion,Pope Francis
Prince Andrew,51,y,Royalty,Prince Andrew
Putin,220,y,Politics,Vladimir Putin
putin,35,y,Politics,Vladimir Putin
Queen Elizabeth,38,y,Royalty,Queen Elizabeth
Rand Paul,39,y,Politics,Rand Paul
Rashid A. Butter,32,y,Conspiracy Theory,Rashid Buttar
Rashid Buttar,82,y,Conspiracy Theory,Rashid Buttar
Reagan,75,y,Politics,Ronald Reagan
Richard Pan,23,y,Politics,Richard Pan
Rick,51,y,unsure,Rick and Morty
Ricky Gervais,33,y,Entertainment,Ricky Gervais
Robert David Steele,47,y,Science,Robert David Steele
Robert F. Kennedy,75,y,Politics,Robert F. Kennedy
Robert F. Kennedy Jr.,146,y,Politics,Robert F. Kennedy Jr.
Robert Farah,74,y,Sports,Robert Farah
Robert Gallo,24,y,Science,Robert Gallo
Robert Maxwell,31,y,Media and journalism,Robert Maxwell
Robert Mueller,46,y,Law and law enforcement,Robert Mueller
Robert Redfield,28,y,Science,Robert Redfield
Robin Williams,25,y,Entertainment,Robin Williams
Rockefeller,44,y,Business,Rockefeller
Roger Stone,45,y,Politics,Roger Stone
Ron Paul,75,y,,
Ronald Reagan,55,y,Politics,Ronald Reagan
Rothchild,24,y,Business,Rothchild family
Rothchilds,196,y,Business,Rothschild Family
Rothschild,400,y,Business,Rothschild Family
rothschild,135,y,Business,Rothschild Family
Rothschilds,195,y,Business,Rothschild Family
rothschilds,81,y,Business,Rothschild Family
Rudolf Steiner,31,y,Literature,Rudolf Steiner
Rudy Giuliani,23,y,Politics,Rudy Giuliani
Sacha Stone,30,y,Entertainment,Sacha Stone
